State,Month,Unemployment,Unemployment_Change,COVID-19_Deaths,State_Population,Covid_Deaths_per_100k
Alabama,1,2.7,0,0,"5,024,279",0
Alaska,1,6,0,0,"733,391",0
Arizona,1,4.5,0,0,"7,151,502",0
Arkansas,1,3.5,0,0,"3,011,524",0
California,1,3.9,0,0,"39,538,223",0
Colorado,1,2.5,0,0,"5,773,714",0
Connecticut,1,3.7,0,0,"3,605,944",0
Delaware,1,4,0,0,"989,948",0
Florida,1,2.8,0,0,"21,538,187",0
Georgia,1,3.1,0,0,"10,711,908",0
Hawaii,1,2.7,0,0,"1,455,271",0
Idaho,1,2.8,0,0,"1,839,106",0
Illinois,1,3.5,0,0,"12,812,508",0
Indiana,1,3.1,0,0,"6,785,528",0
Iowa,1,2.8,0,0,"3,190,369",0
Kansas,1,3.1,0,0,"2,937,880",0
Kentucky,1,4.3,0,0,"4,505,836",0
Louisiana,1,5.1,0,0,"4,657,757",0
Maine,1,3.1,0,0,"1,362,359",0
Maryland,1,3.3,0,0,"6,177,224",0
Massachusetts,1,2.8,0,0,"7,029,917",0
Michigan,1,3.8,0,0,"10,077,331",0
Minnesota,1,3.2,0,0,"5,706,494",0
Mississippi,1,5.5,0,0,"2,961,279",0
Missouri,1,3.5,0,0,"6,154,913",0
Montana,1,3.5,0,0,"1,084,225",0
Nebraska,1,3.9,0,0,"1,961,504",0
Nevada,1,3.6,0,0,"3,104,614",0
New Hampshire,1,2.6,0,0,"1,377,529",0
New Jersey,1,3.8,0,0,"9,288,994",0
New Mexico,1,4.8,0,0,"2,117,522",0
New York,1,3.8,0,0,"20,201,249",0
North Carolina,1,3.6,0,0,"10,439,388",0
North Dakota,1,2.3,0,0,"779,094",0
Ohio,1,4.1,0,0,"11,799,448",0
Oklahoma,1,3.3,0,0,"3,959,353",0
Oregon,1,3.3,0,0,"4,237,256",0
Pennsylvania,1,4.7,0,0,"13,002,700",0
Rhode Island,1,3.1,0,0,"1,097,379",0
South Carolina,1,2.4,0,0,"5,118,425",0
South Dakota,1,3.4,0,0,"886,667",0
Tennessee,1,3.3,0,0,"6,910,840",0
Texas,1,4.5,0,0,"29,145,505",0
Utah,1,2.5,0,0,"3,271,616",0
Vermont,1,2.4,0,0,"643,077",0
Virginia,1,2.7,0,0,"8,631,393",0
Washington,1,3.9,0,0,"7,705,281",0
West Virginia,1,5,0,0,"1,793,716",0
Wisconsin,1,3.5,0,0,"5,893,718",0
Wyoming,1,3.7,0,0,"576,851",0
Alabama,2,2.7,0,0,"5,024,279",0
Alaska,2,5.8,-0.2,0,"733,391",0
Arizona,2,4.5,0,0,"7,151,502",0
Arkansas,2,3.9,0.4,0,"3,011,524",0
California,2,2.5,-1.4,0,"39,538,223",0
Colorado,2,2.8,0.3,0,"5,773,714",0
Connecticut,2,3.9,0.2,0,"3,605,944",0
Delaware,2,5.2,1.2,0,"989,948",0
Florida,2,3.1,0.3,0,"21,538,187",0
Georgia,2,2.7,-0.4,0,"10,711,908",0
Hawaii,2,2.7,0,0,"1,455,271",0
Idaho,2,3.4,0.6,0,"1,839,106",0
Illinois,2,3.1,-0.4,0,"12,812,508",0
Indiana,2,2.8,-0.3,0,"6,785,528",0
Iowa,2,3.1,0.3,0,"3,190,369",0
Kansas,2,4.2,1.1,0,"2,937,880",0
Kentucky,2,5.2,0.9,0,"4,505,836",0
Louisiana,2,3.2,-1.9,0,"4,657,757",0
Maine,2,3.3,0.2,0,"1,362,359",0
Maryland,2,2.8,-0.5,0,"6,177,224",0
Massachusetts,2,3.6,0.8,0,"7,029,917",0
Michigan,2,3.1,-0.7,0,"10,077,331",0
Minnesota,2,5.4,2.2,0,"5,706,494",0
Mississippi,2,3.5,-2,0,"2,961,279",0
Missouri,2,3.5,0,0,"6,154,913",0
Montana,2,2.9,-0.6,0,"1,084,225",0
Nebraska,2,3.6,-0.3,0,"1,961,504",0
Nevada,2,3.6,0,0,"3,104,614",0
New Hampshire,2,3.8,1.2,0,"1,377,529",0
New Jersey,2,4.8,1,0,"9,288,994",0
New Mexico,2,3.7,-1.1,0,"2,117,522",0
New York,2,3.6,-0.2,0,"20,201,249",0
North Carolina,2,2.2,-1.4,0,"10,439,388",0
North Dakota,2,4.2,1.9,0,"779,094",0
Ohio,2,3.2,-0.9,0,"11,799,448",0
Oklahoma,2,3.3,0,0,"3,959,353",0
Oregon,2,4.7,1.4,0,"4,237,256",0
Pennsylvania,2,3.4,-1.3,0,"13,002,700",0
Rhode Island,2,2.5,-0.6,0,"1,097,379",0
South Carolina,2,3.3,0.9,0,"5,118,425",0
South Dakota,2,3.4,0,0,"886,667",0
Tennessee,2,3.5,0.2,0,"6,910,840",0
Texas,2,2.5,-2,0,"29,145,505",0
Utah,2,3.4,0.9,0,"3,271,616",0
Vermont,2,2.6,0.2,0,"643,077",0
Virginia,2,3.8,1.1,0,"8,631,393",0
Washington,2,4.9,1,0,"7,705,281",0
West Virginia,2,3.7,-1.3,0,"1,793,716",0
Wisconsin,2,2.7,-0.8,0,"5,893,718",0
Wyoming,2,5.8,2.1,0,"576,851",0
Alabama,3,3.5,0.8,48,"5,024,279",0.955360958
Alaska,3,5.6,-0.2,0,"733,391",0
Arizona,3,5.5,1,63,"7,151,502",0.880933823
Arkansas,3,4.8,0.9,10,"3,011,524",0.332057789
California,3,5.3,2.8,277,"39,538,223",0.700587884
Colorado,3,4.5,1.7,105,"5,773,714",1.818586788
Connecticut,3,3.7,-0.2,125,"3,605,944",3.466498648
Delaware,3,5.1,-0.1,0,"989,948",0
Florida,3,4.3,1.2,190,"21,538,187",0.882154101
Georgia,3,4.2,1.5,217,"10,711,908",2.025782895
Hawaii,3,2.6,-0.1,0,"1,455,271",0
Idaho,3,2.6,-0.8,10,"1,839,106",0.543742449
Illinois,3,4.6,1.5,193,"12,812,508",1.506340523
Indiana,3,3.2,0.4,125,"6,785,528",1.842155835
Iowa,3,3.7,0.6,10,"3,190,369",0.313443367
Kansas,3,3.1,-1.1,14,"2,937,880",0.476534099
Kentucky,3,5.8,0.6,28,"4,505,836",0.621416314
Louisiana,3,6.1,2.9,394,"4,657,757",8.4590072
Maine,3,3.2,-0.1,0,"1,362,359",0
Maryland,3,3.3,0.5,47,"6,177,224",0.760859571
Massachusetts,3,2.9,-0.7,126,"7,029,917",1.792339796
Michigan,3,4.1,1,493,"10,077,331",4.892168373
Minnesota,3,3.1,-2.3,21,"5,706,494",0.368001789
Mississippi,3,5.3,1.8,33,"2,961,279",1.114383346
Missouri,3,4.5,1,32,"6,154,913",0.519909867
Montana,3,3.5,0.6,0,"1,084,225",0
Nebraska,3,4.2,0.6,0,"1,961,504",0
Nevada,3,6.3,2.7,35,"3,104,614",1.127354318
New Hampshire,3,2.6,-1.2,0,"1,377,529",0
New Jersey,3,3.8,-1,682,"9,288,994",7.342022182
New Mexico,3,5.9,2.2,0,"2,117,522",0
New York,3,4.5,0.9,2176,"20,201,249",10.7716112
North Carolina,3,4.4,2.2,23,"10,439,388",0.220319429
North Dakota,3,2.2,-2,0,"779,094",0
Ohio,3,5.5,2.3,97,"11,799,448",0.822072355
Oklahoma,3,3.1,-0.2,39,"3,959,353",0.985009419
Oregon,3,3.3,-1.4,27,"4,237,256",0.637204833
Pennsylvania,3,6,2.6,103,"13,002,700",0.79214317
Rhode Island,3,4.6,2.1,0,"1,097,379",0
South Carolina,3,2.6,-0.7,34,"5,118,425",0.66426684
South Dakota,3,3.3,-0.1,0,"886,667",0
Tennessee,3,3.5,0,35,"6,910,840",0.506450735
Texas,3,4.7,2.2,98,"29,145,505",0.336243959
Utah,3,3.6,0.2,0,"3,271,616",0
Vermont,3,3.2,0.6,16,"643,077",2.48803798
Virginia,3,3.3,-0.5,62,"8,631,393",0.718308157
Washington,3,5.1,0.2,280,"7,705,281",3.633871367
West Virginia,3,6.1,2.4,0,"1,793,716",0
Wisconsin,3,3.4,0.7,44,"5,893,718",0.746557606
Wyoming,3,3.7,-2.1,0,"576,851",0
Alabama,4,12.9,9.4,337,"5,024,279",6.707430061
Alaska,4,12.9,7.3,0,"733,391",0
Arizona,4,12.6,7.1,404,"7,151,502",5.649162931
Arkansas,4,10.2,5.4,61,"3,011,524",2.025552511
California,4,15.5,10.2,2013,"39,538,223",5.091275852
Colorado,4,11.3,6.8,880,"5,773,714",15.24148927
Connecticut,4,7.9,4.2,2436,"3,605,944",67.55512565
Delaware,4,14.3,9.2,184,"989,948",18.58683486
Florida,4,12.9,8.6,1309,"21,538,187",6.077577467
Georgia,4,11.9,7.7,1075,"10,711,908",10.03556042
Hawaii,4,22.3,19.7,16,"1,455,271",1.09945158
Idaho,4,11.5,8.9,55,"1,839,106",2.990583468
Illinois,4,16.4,11.8,2447,"12,812,508",19.09852466
Indiana,4,16.9,13.7,1132,"6,785,528",16.68256324
Iowa,4,10.2,6.5,171,"3,190,369",5.359881569
Kansas,4,11.2,8.1,127,"2,937,880",4.322845045
Kentucky,4,15.4,9.6,246,"4,505,836",5.45958619
Louisiana,4,14.5,8.4,1625,"4,657,757",34.88803731
Maine,4,10.6,7.4,51,"1,362,359",3.743506667
Maryland,4,9.9,6.6,1280,"6,177,224",20.72128192
Massachusetts,4,15.1,12.2,3926,"7,029,917",55.84703205
Michigan,4,22.7,18.6,3617,"10,077,331",35.89244017
Minnesota,4,8.1,5,396,"5,706,494",6.939462304
Mississippi,4,15.4,10.1,299,"2,961,279",10.0969885
Missouri,4,9.7,5.2,456,"6,154,913",7.408715607
Montana,4,11.3,7.8,11,"1,084,225",1.014549563
Nebraska,4,8.2,4,76,"1,961,504",3.874577875
Nevada,4,28.3,22,228,"3,104,614",7.343908132
New Hampshire,4,16.3,13.7,83,"1,377,529",6.0252815
New Jersey,4,15.3,11.5,8936,"9,288,994",96.19986836
New Mexico,4,11.3,5.4,160,"2,117,522",7.556001779
New York,4,14.5,10,14898,"20,201,249",73.74791529
North Carolina,4,12.2,7.8,450,"10,439,388",4.310597518
North Dakota,4,8.5,6.3,26,"779,094",3.337209631
Ohio,4,16.8,11.3,1050,"11,799,448",8.898721364
Oklahoma,4,13.7,10.6,208,"3,959,353",5.25338357
Oregon,4,14.2,10.9,105,"4,237,256",2.478018793
Pennsylvania,4,15.1,9.1,3497,"13,002,700",26.89441424
Rhode Island,4,17,12.4,352,"1,097,379",32.07642938
South Carolina,4,12.1,9.5,236,"5,118,425",4.610793359
South Dakota,4,10.2,6.9,21,"886,667",2.368420162
Tennessee,4,14.7,11.2,184,"6,910,840",2.662483866
Texas,4,12.8,8.1,928,"29,145,505",3.184024432
Utah,4,9.7,6.1,44,"3,271,616",1.344901113
Vermont,4,15.6,12.4,38,"643,077",5.909090202
Virginia,4,10.6,7.3,751,"8,631,393",8.700797195
Washington,4,15.4,10.3,544,"7,705,281",7.060092941
West Virginia,4,15.2,9.1,49,"1,793,716",2.731759097
Wisconsin,4,14.1,10.7,311,"5,893,718",5.276804896
Wyoming,4,9.2,5.5,5,"576,851",0.866774956
Alabama,5,9.6,-3.3,425,"5,024,279",8.458925151
Alaska,5,12.7,-0.2,0,"733,391",0
Arizona,5,9,-3.6,505,"7,151,502",7.061453664
Arkansas,5,9.6,-0.6,78,"3,011,524",2.590050752
California,5,16.4,0.9,2233,"39,538,223",5.647699443
Colorado,5,10.2,-1.1,465,"5,773,714",8.053741491
Connecticut,5,9.6,1.7,1531,"3,605,944",42.45767544
Delaware,5,15.9,1.6,265,"989,948",26.76908282
Florida,5,13.7,0.8,1131,"21,538,187",5.251138362
Georgia,5,9.4,-2.5,796,"10,711,908",7.430982417
Hawaii,5,23.5,1.2,0,"1,455,271",0
Idaho,5,9,-2.5,22,"1,839,106",1.196233387
Illinois,5,15.3,-1.1,2820,"12,812,508",22.00974235
Indiana,5,12.3,-4.6,956,"6,785,528",14.08880783
Iowa,5,10.2,0,416,"3,190,369",13.03924405
Kansas,5,10,-1.2,101,"2,937,880",3.437853146
Kentucky,5,10.9,-4.5,224,"4,505,836",4.971330514
Louisiana,5,14.2,-0.3,740,"4,657,757",15.88747545
Maine,5,9.4,-1.2,43,"1,362,359",3.156289935
Maryland,5,10,0.1,1540,"6,177,224",24.93029231
Massachusetts,5,16.6,1.5,3039,"7,029,917",43.22952888
Michigan,5,21.3,-1.4,1291,"10,077,331",12.81093178
Minnesota,5,9.9,1.8,703,"5,706,494",12.31929798
Mississippi,5,10.5,-4.9,454,"2,961,279",15.3312133
Missouri,5,10.1,0.4,403,"6,154,913",6.547614889
Montana,5,9,-2.3,0,"1,084,225",0
Nebraska,5,5.3,-2.9,111,"1,961,504",5.658922949
Nevada,5,25.3,-3,162,"3,104,614",5.218039988
New Hampshire,5,15.4,-0.9,179,"1,377,529",12.99428179
New Jersey,5,15.4,0.1,3354,"9,288,994",36.10724692
New Mexico,5,9.1,-2.2,262,"2,117,522",12.37295291
New York,5,14.5,0,2846,"20,201,249",14.08823781
North Carolina,5,12.8,0.6,540,"10,439,388",5.172717021
North Dakota,5,9.1,0.6,53,"779,094",6.802773478
Ohio,5,13.9,-2.9,1140,"11,799,448",9.661468909
Oklahoma,5,12.6,-1.1,115,"3,959,353",2.904514955
Oregon,5,14.3,0.1,59,"4,237,256",1.39241056
Pennsylvania,5,13.4,-1.7,2709,"13,002,700",20.83413445
Rhode Island,5,16.4,-0.6,467,"1,097,379",42.55594466
South Carolina,5,12.4,0.3,290,"5,118,425",5.665805399
South Dakota,5,9.4,-0.8,44,"886,667",4.962404149
Tennessee,5,11,-3.7,202,"6,910,840",2.922944244
Texas,5,13,0.2,963,"29,145,505",3.30411156
Utah,5,8.6,-1.1,70,"3,271,616",2.139615407
Vermont,5,12.8,-2.8,0,"643,077",0
Virginia,5,9,-1.6,850,"8,631,393",9.847773123
Washington,5,15.1,-0.3,273,"7,705,281",3.543024583
West Virginia,5,12.9,-2.3,38,"1,793,716",2.118507055
Wisconsin,5,12.1,-2,287,"5,893,718",4.869591657
Wyoming,5,8.8,-0.4,5,"576,851",0.866774956
Alabama,6,7.5,-2.1,397,"5,024,279",7.901631259
Alaska,6,12.4,-0.3,0,"733,391",0
Arizona,6,10,1,898,"7,151,502",12.55680275
Arkansas,6,8,-1.6,169,"3,011,524",5.611776629
California,6,14.9,-1.5,2054,"39,538,223",5.194972976
Colorado,6,10.5,0.3,184,"5,773,714",3.186856848
Connecticut,6,9.8,0.2,282,"3,605,944",7.820420949
Delaware,6,12.5,-3.4,61,"989,948",6.161939819
Florida,6,10.4,-3.3,1081,"21,538,187",5.018992546
Georgia,6,7.6,-1.8,512,"10,711,908",4.779727384
Hawaii,6,13.9,-9.6,0,"1,455,271",0
Idaho,6,5.6,-3.4,11,"1,839,106",0.598116694
Illinois,6,14.6,-0.7,1157,"12,812,508",9.030238264
Indiana,6,11.2,-1.1,459,"6,785,528",6.764396227
Iowa,6,8,-2.2,158,"3,190,369",4.952405192
Kansas,6,7.5,-2.5,66,"2,937,880",2.246517897
Kentucky,6,4.3,-6.6,155,"4,505,836",3.439983168
Louisiana,6,9.7,-4.5,360,"4,657,757",7.729042112
Maine,6,6.6,-2.8,14,"1,362,359",1.027629281
Maryland,6,8,-2,673,"6,177,224",10.89486151
Massachusetts,6,17.4,0.8,634,"7,029,917",9.018598655
Michigan,6,14.8,-6.5,295,"10,077,331",2.927362414
Minnesota,6,8.6,-1.3,370,"5,706,494",6.483841041
Mississippi,6,8.7,-1.8,319,"2,961,279",10.77237234
Missouri,6,7.9,-2.2,195,"6,154,913",3.168200753
Montana,6,7.1,-1.9,0,"1,084,225",0
Nebraska,6,6.7,1.4,92,"1,961,504",4.69027848
Nevada,6,15,-10.3,91,"3,104,614",2.931121228
New Hampshire,6,11.8,-3.6,100,"1,377,529",7.259375302
New Jersey,6,16.6,1.2,834,"9,288,994",8.978367302
New Mexico,6,8.3,-0.8,126,"2,117,522",5.950351401
New York,6,15.7,1.2,488,"20,201,249",2.415692218
North Carolina,6,7.6,-5.2,470,"10,439,388",4.50217963
North Dakota,6,6.1,-3,20,"779,094",2.567084331
Ohio,6,10.9,-3,551,"11,799,448",4.669709973
Oklahoma,6,6.6,-6,72,"3,959,353",1.818478928
Oregon,6,11.2,-3.1,60,"4,237,256",1.416010739
Pennsylvania,6,13,-0.4,827,"13,002,700",6.360217493
Rhode Island,6,12.4,-4,148,"1,097,379",13.48668054
South Carolina,6,8.7,-3.7,292,"5,118,425",5.704879919
South Dakota,6,7.2,-2.2,40,"886,667",4.5112765
Tennessee,6,9.7,-1.3,213,"6,910,840",3.082114475
Texas,6,8.6,-4.4,1430,"29,145,505",4.906416959
Utah,6,5.1,-3.5,68,"3,271,616",2.078483538
Vermont,6,9.4,-3.4,0,"643,077",0
Virginia,6,8.4,-0.6,393,"8,631,393",4.553146867
Washington,6,9.8,-5.3,157,"7,705,281",2.037563588
West Virginia,6,10.4,-2.5,13,"1,793,716",0.724752413
Wisconsin,6,8.5,-3.6,162,"5,893,718",2.748689367
Wyoming,6,7.6,-1.2,5,"576,851",0.866774956
Alabama,7,7.9,0.4,870,"5,024,279",17.31591737
Alaska,7,11.6,-0.8,12,"733,391",1.636234969
Arizona,7,10.6,0.6,2096,"7,151,502",29.30852847
Arkansas,7,7.1,-0.9,273,"3,011,524",9.065177631
California,7,13.3,-1.6,3873,"39,538,223",9.795584389
Colorado,7,7.4,-3.1,152,"5,773,714",2.632620875
Connecticut,7,10.2,0.4,77,"3,605,944",2.135363167
Delaware,7,10.4,-2.1,25,"989,948",2.525385172
Florida,7,11.3,0.9,4973,"21,538,187",23.08922288
Georgia,7,7.6,0,1322,"10,711,908",12.34140547
Hawaii,7,13.1,-0.8,0,"1,455,271",0
Idaho,7,5,-0.6,129,"1,839,106",7.014277589
Illinois,7,11.3,-3.3,442,"12,812,508",3.449753944
Indiana,7,7.8,-3.4,330,"6,785,528",4.863291405
Iowa,7,6.6,-1.4,175,"3,190,369",5.485258915
Kansas,7,7.2,-0.3,115,"2,937,880",3.914387245
